id,title,caption,attribution,attribution_confidence,caption_source,date_start,date_end,decade,curated,selected_default,classification,recommended_print,master_file_id,rights_status,research_status,evidence_urls
img_1dfdd8cac1f62558,"Studio portrait of Reznor Stewart, c. 1870s-1880s (oval-vignette card portrait)","Reznor Stewart, Beaumont rancher and later Beaumont Bank president, in a studio portrait, c. 1870s-1880s — around the era he homesteaded the Stewart Ranch (1883).","Stewart family collection, via Beaumont Library District",probable,Deep research 2026-07-21 (costume/format dating + BLD/Calisphere Stewart biography),1870,1890,1870,False,False,Reference Only,5.4 × 8.9 in at 100 PPI,file_9f74697e7d047f49,Public domain,Researched,https://calisphere.org/item/ark:/13030/c8np23r5/; https://calisphere.org/item/ark:/13030/c8dn44db/; https://www.findagrave.com/memorial/72931170/reznor_p-stewart
img_c15c20a838d86c18,Stewart Ranch grain harvest,"Grain harvest on the Stewart Ranch — traditionally dated 1883, the year Stewart homesteaded.","Beaumont Library District, via Calisphere (CBEA_147, ark:/13030/c87p8xrn); rights: Copyrighted — Laura May Stewart Trust",confirmed,Calisphere Beaumont Library District collection (CBEA_147),1884,1909,1880,True,True,Reference Only,4.5 × 3.6 in at 100 PPI,file_a7f6a7d24337d6c4,Copyrighted,Researched,https://calisphere.org/item/ark:/13030/c87p8xrn/; https://www.mybld.org/local-history; https://archive.org/details/historyriversid00unkngoog; https://calisphere.org/item/ark:/13030/c86q1wmt/
img_72d13585ff607c22,"Captain John Morongo, c. 1890","Captain John Morongo (c. 1843/46 - July 1898), the Serrano leader for whom the reservation is named — studio portrait, c. 1890.","Huntington Library, Weinland Collection (photCL 39 (126)); Banning Library District print via Calisphere (CBAN_120, ark:/13030/c8d798dr); photograph by Cramer's California Gallery, 402 Kearny St., San Francisco",confirmed,Huntington Library Weinland Collection — exact print visually confirmed (2026-07-20),1885,1898,1880,True,True,Reference Only,4.5 × 4.5 in at 100 PPI,file_30cab5e4d7341ae5,Unclear,Researched,https://hdl.huntington.org/digital/collection/p15150coll2/id/12408/; https://calisphere.org/item/81e109d9cfed923ca16b1c45273ea8db/; https://hdl.huntington.org/digital/collection/p15150coll2/id/12407/; https://www.loc.gov/resource/sn85042461/1898-07-21/ed-1/?sp=9&q=%22john+morongo%22; https://www.loc.gov/resource/sn94051341/1898-07-30/ed-1/?sp=1&q=%22john+morongo%22; https://www.loc.gov/resource/sn85042461/1893-01-25/ed-1/?sp=5&q=%22john+morongo%22; https://calisphere.org/item/ark:/13030/c8d798dr/; https://morongonation.org/about-us/; https://dorothyramonlearningcenter.substack.com/p/a-sacred-week; https://malkimuseum.org/pages/museum-history; https://cabinetcardgallery.com/tag/cramers-california-gallery/
img_5658eba56b079aef,Egan Avenue,"Egan Avenue in the early days of the developing town of Beaumont: a horse and wagon stand in the wide dirt street between a false-front store and warehouse barns, an open ditch in the foreground, c. 1885-1895.","Beaumont Library District Local History Collection, via Calisphere (CBEA_174)",confirmed,"Calisphere Beaumont Library District collection (CBEA_174), matched 2026-07-21 by direct image comparison",1885,1895,1880,False,False,Reference Only,4.5 × 3.5 in at 100 PPI,file_a2d68236077282d5,Unclear,Researched,https://calisphere.org/item/ark:/13030/c80z72mq/
img_049b709d6ffb773a,"Beaumont and the San Gorgonio Pass from the hills south of town (Hotel Beaumont at right), negative no. 2099","Beaumont from the brush hills south of town, looking north across the San Gorgonio Pass; the Hotel Beaumont (built 1887, burned 1909) stands at right of the young settlement. c. 1887–1909.",Unknown,unknown,Deep research 2026-07-21 (BLD local history timeline + image inspection),1887,1909,1880,False,False,Reference Only,8.6 × 6.6 in at 100 PPI,file_b687abb7d8963c1f,Unclear,Researched,https://www.mybld.org/local-history; https://www.facebook.com/photo/?fbid=1056894616647057; https://patch.com/california/banning-beaumont/calendar/event/20260312/1b756d43-6666-4654-988c-7c4cd200506b/history-of-hotel-beaumont-with-the-historical-society
img_70f5802804fd1652,"Southern Pacific depot, Peter Allen's store, and the Hotel Beaumont — postcard view of early Beaumont","The Southern Pacific depot, Peter Allen's store, and the Hotel Beaumont on its knoll — postcard view of Beaumont before the August 1909 hotel fire. c. 1887–1909.",Karen Sumner Noordman collection,probable,Deep research 2026-07-21 (BLD local history timeline + signage reading),1887,1909,1880,False,False,Potentially Usable,14.9 × 9.8 in at 100 PPI,file_7545ae933a1593e8,Public domain,Researched,https://www.mybld.org/local-history; https://www.facebook.com/photo/?fbid=1056894616647057; https://archive.org/details/historyriversid00unkngoog
img_43eb34083eb2296d,"Edinburgh Hotel Real Estate Banquet, near 5th and Beaumont Ave","Diners at a real estate banquet inside the Edinburgh Hotel near 5th Street and Beaumont Avenue — a rare interior view of Beaumont's first hotel building, 1888.","Beaumont Library District Local History Collection, via Calisphere (CBEA_039)",confirmed,"Calisphere Beaumont Library District collection (CBEA_039), matched 2026-07-21 by direct image comparison",1888,1888,1880,False,False,Reference Only,9.2 × 6.3 in at 100 PPI,file_9bc1746066487deb,Unclear,Researched,https://calisphere.org/item/ark:/13030/c8b56j3k/
img_5f9b3935055576a5,"Beaumont School students and teachers, 1890–1893 (identified by BLD as the first Wellwood School building)","Students and teachers of the Beaumont School, 1890–1893 — the town's early frame schoolhouse, identified by the Beaumont Library District as the first Wellwood School building.",Beaumont Library District,probable,Deep research 2026-07-21 (mount inscription; Holmes 1912),1890,1893,1890,False,False,Production Ready,32.3 × 20 in at 100 PPI,file_dad8d6f3d912fe48,Permission required,Researched,https://archive.org/details/historyriversid00unkngoog; https://www.mybld.org/local-history; https://calisphere.org/item/ark:/13030/c8416wdh/
img_31bfa277fbd3230d,"Beaumont schoolhouse (predecessor of the Wellwood School) with pupils and horse-drawn buggy, c. 1890s","Beaumont's frame schoolhouse — bell cupola, flag, and new picket fence — with pupils and a horse-drawn buggy, c. 1890s. It preceded the 1921 Wellwood School.",Unknown photographer; Beaumont Library District collection,unknown,Deep research 2026-07-21 (period ink caption on mount; companion album print),1890,1900,1890,False,False,Production Ready,29.9 × 18.6 in at 100 PPI,file_a9c390e28cd46575,Public domain,Researched,https://calisphere.org/item/ark:/13030/c84b30nv/
img_17d9fad337a3fded,"Council house (kishumnawat), Morongo Reservation","Council house (ceremonial big house), Morongo Reservation, c. 1890s.","Huntington Library, William H. Weinland Photograph Collection (photCL 39 vol. 3 (20)); the catalog file is a low-resolution comp",confirmed,Huntington Library Weinland Collection — exact print verified by direct image comparison (2026-07-20),1890,1899,1890,True,True,Reference Only,2.3 × 1.8 in at 100 PPI,file_102c647a7603cb35,Permission required,Researched,https://hdl.huntington.org/digital/collection/p15150coll2/id/13004/; https://hdl.huntington.org/digital/collection/p15150coll2/id/13020/; https://hdl.huntington.org/digital/collection/p15150coll2/id/13007/; https://oac.cdlib.org/findaid/ark:/13030/tf667nb1n8/; https://accessgenealogy.com/native/cahuilla-religious-life.htm; https://www.aguacaliente.org/documents/OurStory-20.pdf; https://morongonation.org/about-us/; https://malkimuseum.org/pages/museum-history
